CustomerID,Name,Region,JoinDate,Age,Division
CUST001000,Robert Gomez,West,2024-02-25,42,Sales
CUST001001,John Silva,East,2020-12-01,54,Production
CUST001002,Mark Marshall,Central,2020-08-08,67,Sales
CUST001003,David Brennan,North,2020-05-21,30,Sales
CUST001004,Kerry Collins,North,2023-09-12,25,Production
CUST001005,Jessica Mora,South,2021-08-05,22,Sales
CUST001006,Hannah Ray,West,2021-07-03,50,Production
CUST001007,David Kim,West,2020-05-20,49,Sales
CUST001008,William Ramirez,East,2023-09-15,21,Production
CUST001009,Zachary Bell Jr.,East,2023-04-20,36,Sales
CUST001010,Mike Davis,East,2022-03-23,55,Sales
CUST001011,Amanda Myers,West,2021-09-05,61,Production
CUST001012,Tara Miller,North,2020-08-10,44,Production
CUST001013,Alyssa Morgan,North,2022-07-22,72,Sales
CUST001014,Cindy Woods,East,2024-04-02,22,Sales
CUST001015,Jennifer Rodgers,North,2023-02-12,35,Production
CUST001016,Andrea Roberts,East,2021-05-16,59,Sales
CUST001017,Brittney Burnett,North,2020-07-03,28,Production
CUST001018,Edwin Garrison,South-West,2020-08-31,33,Sales
CUST001019,Michelle Torres,Central,2020-11-18,66,Sales
CUST001020,Michelle Brewer,East,2021-07-14,40,Production
CUST001021,Aaron Burnett,South,2024-02-13,48,Sales
CUST001022,Austin Gutierrez,East,2021-11-25,39,Sales
CUST001023,Dustin Medina,East,2021-06-14,24,Sales
CUST001024,Andres Avila,Central,2022-09-19,55,Production
CUST001025,Garrett Lewis,South,2023-08-04,37,Sales
CUST001026,Gary Walls,North,2023-10-05,43,Production
CUST001027,Anthony Schroeder,East,2020-10-04,39,Sales
CUST001028,Haley Wagner,West,2023-11-03,26,Sales
CUST001029,Gina Powers,West,2022-10-26,45,Production
CUST001030,Alice Robinson,East,2021-08-06,62,Sales
CUST001031,Jessica Frazier,West,2021-10-20,27,Production
CUST001032,Terri Long,East,2022-10-23,34,Sales
CUST001033,Paul Perkins,East,2022-03-16,48,Production
CUST001034,Heather Smith,Central,2022-09-16,28,Sales
CUST001035,Lorraine Rodriguez,East,2022-09-26,58,Production
CUST001036,Robert Bishop,South-West,2020-09-14,34,Sales
CUST001037,Lisa Sanders,West,2020-06-03,26,Production
CUST001038,Jason Ford,East,2023-10-09,39,Sales
CUST001039,Brandy Good,West,2023-05-21,42,Sales
CUST001040,Angel Lee,Central,2022-04-08,67,Production
CUST001041,David Beltran,East,2021-01-18,54,Sales
CUST001042,Christopher Dodson,North,2023-10-30,32,Production
CUST001043,Eric Pena,West,2022-06-30,34,Sales
CUST001044,Anita Huerta,East,2022-04-08,45,Sales
CUST001045,Dr. Susan Bailey,North,2020-10-02,32,Production
CUST001046,Tyler Colon,Central,2021-03-03,63,Sales
CUST001047,Ashley Pearson,West,2020-10-04,23,Sales
CUST001048,Dr. Donald Proctor,North,2024-03-17,39,Production
CUST001049,Rebecca Jordan,West,2022-10-08,56,Sales
CUST001050,Jeffrey Mclaughlin,East,2022-03-28,65,Production
CUST001051,Amy Nguyen,Central,2024-02-13,34,Sales
